id_codigo_depart;id_nivel_esco;anio;num_poblacion;tipo_metrica;tasa
47,;1,;2019,;323546;Desercion;4,25%
47,;1,;2020,;327562;Desercion;5,68%
47,;1,;2021,;328343;Desercion;1,6%
47,;1,;2022,;327302;Desercion;6,35%
47,;1,;2023,;326763;Desercion;4,52%
50,;1,;2011,;209319;Desercion;5,12%
50,;1,;2012,;210820;Desercion;5,74%
50,;1,;2013,;213170;Desercion;4,66%
50,;1,;2014,;215227;Desercion;3,31%
50,;1,;2015,;217437;Desercion;3,39%
50,;1,;2016,;219565;Desercion;6,58%
50,;1,;2017,;221844;Desercion;4,56%
50,;1,;2018,;218707;Desercion;5,8%
50,;1,;2019,;218194;Desercion;5,28%
50,;1,;2020,;217673;Desercion;3,14%
50,;1,;2021,;216914;Desercion;3,6%
50,;1,;2022,;221130;Desercion;5,66%
50,;1,;2023,;221701;Desercion;4,79%
52,;1,;2011,;401313;Desercion;13,91%
52,;1,;2012,;401539;Desercion;1,32%
52,;1,;2013,;399032;Desercion;0,88%
52,;1,;2014,;397640;Desercion;0,52%
52,;1,;2015,;396138;Desercion;0,85%
52,;1,;2016,;394574;Desercion;0,8%
52,;1,;2017,;393195;Desercion;1,18%
52,;1,;2018,;314579;Desercion;0,92%
52,;1,;2019,;309763;Desercion;1,16%
52,;1,;2020,;305761;Desercion;1,02%
52,;1,;2021,;302506;Desercion;1,46%
52,;1,;2022,;307217;Desercion;2,06%
52,;1,;2023,;306503;Desercion;1,49%
54,;1,;2011,;324219;Desercion;4,98%
54,;1,;2012,;322304;Desercion;4,33%
54,;1,;2013,;317334;Desercion;3,76%
54,;1,;2014,;313966;Desercion;3,61%
54,;1,;2015,;310611;Desercion;2,9%
54,;1,;2016,;307238;Desercion;5,4%
54,;1,;2017,;304148;Desercion;4,12%
54,;1,;2018,;307526;Desercion;4,92%
54,;1,;2019,;318252;Desercion;4,26%
54,;1,;2020,;325981;Desercion;4,03%
54,;1,;2021,;328034;Desercion;3,64%
54,;1,;2022,;328869;Desercion;5,41%
54,;1,;2023,;329874;Desercion;5,47%
63,;1,;2011,;114075;Desercion;5,13%
63,;1,;2012,;112175;Desercion;6,6%
63,;1,;2013,;111539;Desercion;6,17%
63,;1,;2014,;110359;Desercion;3,98%
63,;1,;2015,;109400;Desercion;5,92%
63,;1,;2016,;108652;Desercion;6,37%
63,;1,;2017,;108156;Desercion;5,16%
63,;1,;2018,;83383;Desercion;4,71%
63,;1,;2019,;83130;Desercion;3,44%
63,;1,;2020,;83129;Desercion;2,76%
63,;1,;2021,;83299;Desercion;5,89%
63,;1,;2022,;81903;Desercion;6,31%
63,;1,;2023,;82112;Desercion;5,31%
66,;1,;2011,;192633;Desercion;3,73%
66,;1,;2012,;189484;Desercion;6,06%
66,;1,;2013,;187946;Desercion;5,43%
66,;1,;2014,;185754;Desercion;4,%
66,;1,;2015,;183900;Desercion;5,%
66,;1,;2016,;182345;Desercion;5,37%
66,;1,;2017,;181154;Desercion;5,84%
66,;1,;2018,;157477;Desercion;4,81%
66,;1,;2019,;156174;Desercion;5,83%
66,;1,;2020,;155149;Desercion;2,62%
66,;1,;2021,;154342;Desercion;4,27%
66,;1,;2022,;155669;Desercion;6,35%
66,;1,;2023,;155482;Desercion;6,62%
68,;1,;2011,;434034;Desercion;3,38%
68,;1,;2012,;425904;Desercion;5,46%
68,;1,;2013,;419596;Desercion;4,7%
68,;1,;2014,;413227;Desercion;2,42%
68,;1,;2015,;407815;Desercion;4,18%
68,;1,;2016,;402820;Desercion;5,1%
68,;1,;2017,;398621;Desercion;3,74%
68,;1,;2018,;401463;Desercion;4,24%
68,;1,;2019,;405798;Desercion;3,85%
68,;1,;2020,;408876;Desercion;1,96%
68,;1,;2021,;409198;Desercion;3,89%
68,;1,;2022,;405521;Desercion;5,97%
68,;1,;2023,;405256;Desercion;4,71%
70,;1,;2011,;205779;Desercion;9,51%
70,;1,;2012,;203626;Desercion;5,15%
70,;1,;2013,;202453;Desercion;4,08%
70,;1,;2014,;201098;Desercion;2,16%
70,;1,;2015,;200001;Desercion;2,96%
70,;1,;2016,;198817;Desercion;3,14%
70,;1,;2017,;197947;Desercion;3,26%
70,;1,;2018,;201443;Desercion;3,42%
70,;1,;2019,;203411;Desercion;3,67%
70,;1,;2020,;204837;Desercion;3,35%
70,;1,;2021,;205082;Desercion;2,36%
70,;1,;2022,;203779;Desercion;3,92%
70,;1,;2023,;203607;Desercion;3,55%
73,;1,;2011,;325983;Desercion;3,66%
73,;1,;2012,;321653;Desercion;4,92%
73,;1,;2013,;317546;Desercion;4,57%
73,;1,;2014,;313709;Desercion;2,83%
73,;1,;2015,;310206;Desercion;4,45%
73,;1,;2016,;306395;Desercion;4,02%
73,;1,;2017,;303140;Desercion;3,53%
73,;1,;2018,;255496;Desercion;3,54%
73,;1,;2019,;251347;Desercion;4,35%
73,;1,;2020,;247605;Desercion;2,87%
73,;1,;2021,;244021;Desercion;4,23%
73,;1,;2022,;242793;Desercion;4,63%
73,;1,;2023,;239730;Desercion;3,93%
76,;1,;2011,;906602;Desercion;4,18%
76,;1,;2012,;894698;Desercion;4,79%
76,;1,;2013,;887988;Desercion;2,72%
76,;1,;2014,;880625;Desercion;2,06%
76,;1,;2015,;875476;Desercion;3,07%
76,;1,;2016,;873706;Desercion;4,81%
76,;1,;2017,;873860;Desercion;4,24%
76,;1,;2018,;861316;Desercion;3,83%
76,;1,;2019,;854243;Desercion;4,75%
76,;1,;2020,;846957;Desercion;3,59%
76,;1,;2021,;839566;Desercion;4,56%
76,;1,;2022,;848047;Desercion;5,94%
76,;1,;2023,;842813;Desercion;5,51%
81,;1,;2011,;73431;Desercion;1,98%
81,;1,;2012,;74454;Desercion;4,63%
81,;1,;2013,;74658;Desercion;2,13%
81,;1,;2014,;74948;Desercion;1,65%
81,;1,;2015,;75107;Desercion;3,17%
81,;1,;2016,;75185;Desercion;4,45%
81,;1,;2017,;75197;Desercion;3,9%
81,;1,;2018,;60962;Desercion;2,83%
81,;1,;2019,;64095;Desercion;4,98%
81,;1,;2020,;66580;Desercion;2,21%
81,;1,;2021,;67759;Desercion;2,99%
81,;1,;2022,;66682;Desercion;7,8%
81,;1,;2023,;67389;Desercion;4,33%
85,;1,;2011,;85803;Desercion;3,2%
85,;1,;2012,;85999;Desercion;5,57%
85,;1,;2013,;86460;Desercion;4,42%
85,;1,;2014,;86899;Desercion;1,92%
